Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
06/17/2020,7.5,ug/m3 LC,31,San Francisco
06/18/2020,14.0,ug/m3 LC,55,San Francisco
06/19/2020,7.3,ug/m3 LC,30,San Francisco
06/20/2020,3.6,ug/m3 LC,15,San Francisco
06/21/2020,4.7,ug/m3 LC,20,San Francisco
06/22/2020,6.6,ug/m3 LC,28,San Francisco
06/23/2020,4.5,ug/m3 LC,19,San Francisco
06/24/2020,6.5,ug/m3 LC,27,San Francisco
06/25/2020,3.7,ug/m3 LC,15,San Francisco
06/26/2020,4.5,ug/m3 LC,19,San Francisco
06/27/2020,5.6,ug/m3 LC,23,San Francisco
06/28/2020,13.8,ug/m3 LC,55,San Francisco
06/29/2020,14.0,ug/m3 LC,55,San Francisco
06/30/2020,13.8,ug/m3 LC,55,San Francisco
07/01/2020,11.2,ug/m3 LC,47,San Francisco
07/02/2020,9.8,ug/m3 LC,41,San Francisco
07/03/2020,10.4,ug/m3 LC,43,San Francisco
07/04/2020,23.0,ug/m3 LC,74,San Francisco
07/05/2020,14.3,ug/m3 LC,56,San Francisco
07/06/2020,10.0,ug/m3 LC,42,San Francisco
07/07/2020,10.7,ug/m3 LC,45,San Francisco
07/08/2020,11.7,ug/m3 LC,49,San Francisco
07/09/2020,12.3,ug/m3 LC,51,San Francisco
07/10/2020,6.5,ug/m3 LC,27,San Francisco
07/11/2020,10.0,ug/m3 LC,42,San Francisco
07/12/2020,11.2,ug/m3 LC,47,San Francisco
07/13/2020,12.8,ug/m3 LC,52,San Francisco
07/14/2020,9.6,ug/m3 LC,40,San Francisco
07/15/2020,4.6,ug/m3 LC,19,San Francisco
07/16/2020,4.2,ug/m3 LC,18,San Francisco
07/17/2020,3.6,ug/m3 LC,15,San Francisco
07/18/2020,4.2,ug/m3 LC,18,San Francisco
07/19/2020,2.2,ug/m3 LC,9,San Francisco
07/20/2020,2.5,ug/m3 LC,10,San Francisco
07/21/2020,1.9,ug/m3 LC,8,San Francisco
07/22/2020,2.2,ug/m3 LC,9,San Francisco
07/23/2020,3.0,ug/m3 LC,13,San Francisco
07/24/2020,8.9,ug/m3 LC,37,San Francisco
07/25/2020,7.8,ug/m3 LC,33,San Francisco
07/26/2020,6.8,ug/m3 LC,28,San Francisco
07/27/2020,3.7,ug/m3 LC,15,San Francisco
07/28/2020,9.4,ug/m3 LC,39,San Francisco
07/29/2020,2.6,ug/m3 LC,11,San Francisco
07/30/2020,3.8,ug/m3 LC,16,San Francisco
07/31/2020,5.2,ug/m3 LC,22,San Francisco
08/01/2020,3.1,ug/m3 LC,13,San Francisco
08/02/2020,5.3,ug/m3 LC,22,San Francisco
08/03/2020,7.0,ug/m3 LC,29,San Francisco
08/04/2020,7.9,ug/m3 LC,33,San Francisco
08/05/2020,7.8,ug/m3 LC,33,San Francisco
08/06/2020,6.9,ug/m3 LC,29,San Francisco
08/07/2020,12.6,ug/m3 LC,52,San Francisco
08/08/2020,9.0,ug/m3 LC,38,San Francisco
08/09/2020,5.9,ug/m3 LC,25,San Francisco
08/10/2020,7.0,ug/m3 LC,29,San Francisco
08/11/2020,4.3,ug/m3 LC,18,San Francisco
08/12/2020,4.3,ug/m3 LC,18,San Francisco
08/13/2020,13.2,ug/m3 LC,53,San Francisco
08/14/2020,10.2,ug/m3 LC,43,San Francisco
08/15/2020,11.7,ug/m3 LC,49,San Francisco
08/16/2020,10.2,ug/m3 LC,43,San Francisco
08/17/2020,6.9,ug/m3 LC,29,San Francisco
08/18/2020,11.4,ug/m3 LC,48,San Francisco
08/19/2020,39.7,ug/m3 LC,111,San Francisco
08/20/2020,18.3,ug/m3 LC,64,San Francisco
08/21/2020,26.5,ug/m3 LC,81,San Francisco
08/22/2020,22.2,ug/m3 LC,72,San Francisco
08/23/2020,23.2,ug/m3 LC,74,San Francisco
08/24/2020,20.1,ug/m3 LC,68,San Francisco
08/25/2020,24.5,ug/m3 LC,77,San Francisco
08/26/2020,8.0,ug/m3 LC,33,San Francisco
08/27/2020,7.8,ug/m3 LC,33,San Francisco
08/28/2020,33.7,ug/m3 LC,96,San Francisco
08/29/2020,15.0,ug/m3 LC,57,San Francisco
08/30/2020,15.1,ug/m3 LC,57,San Francisco
08/31/2020,27.0,ug/m3 LC,82,San Francisco
09/01/2020,21.0,ug/m3 LC,70,San Francisco
09/02/2020,10.4,ug/m3 LC,43,San Francisco
09/03/2020,22.0,ug/m3 LC,72,San Francisco
09/04/2020,17.6,ug/m3 LC,63,San Francisco
09/05/2020,23.2,ug/m3 LC,74,San Francisco
09/06/2020,32.7,ug/m3 LC,94,San Francisco
09/07/2020,24.0,ug/m3 LC,76,San Francisco
09/08/2020,11.5,ug/m3 LC,48,San Francisco
09/09/2020,31.4,ug/m3 LC,92,San Francisco
09/10/2020,123.1,ug/m3 LC,186,San Francisco
09/11/2020,147.3,ug/m3 LC,198,San Francisco
09/12/2020,96.0,ug/m3 LC,172,San Francisco
09/13/2020,110.7,ug/m3 LC,180,San Francisco
09/14/2020,111.7,ug/m3 LC,180,San Francisco
09/15/2020,19.8,ug/m3 LC,67,San Francisco
09/16/2020,1.6,ug/m3 LC,7,San Francisco
09/17/2020,3.7,ug/m3 LC,15,San Francisco
09/18/2020,5.6,ug/m3 LC,23,San Francisco
09/19/2020,8.9,ug/m3 LC,37,San Francisco
09/20/2020,13.2,ug/m3 LC,53,San Francisco
09/21/2020,10.1,ug/m3 LC,42,San Francisco
09/22/2020,4.0,ug/m3 LC,17,San Francisco
09/23/2020,3.7,ug/m3 LC,15,San Francisco
09/24/2020,4.5,ug/m3 LC,19,San Francisco
09/25/2020,10.0,ug/m3 LC,42,San Francisco
09/26/2020,8.5,ug/m3 LC,35,San Francisco
09/27/2020,17.9,ug/m3 LC,63,San Francisco
09/28/2020,17.8,ug/m3 LC,63,San Francisco
09/29/2020,3.6,ug/m3 LC,15,San Francisco
09/30/2020,19.2,ug/m3 LC,66,San Francisco
10/01/2020,47.2,ug/m3 LC,130,San Francisco
10/02/2020,45.7,ug/m3 LC,126,San Francisco
10/03/2020,14.2,ug/m3 LC,55,San Francisco
10/04/2020,8.1,ug/m3 LC,34,San Francisco
10/05/2020,8.6,ug/m3 LC,36,San Francisco
10/06/2020,13.3,ug/m3 LC,54,San Francisco
10/07/2020,26.8,ug/m3 LC,82,San Francisco
10/08/2020,16.2,ug/m3 LC,60,San Francisco
10/09/2020,1.3,ug/m3 LC,5,San Francisco
10/10/2020,2.8,ug/m3 LC,12,San Francisco
10/11/2020,7.3,ug/m3 LC,30,San Francisco
10/12/2020,10.5,ug/m3 LC,44,San Francisco
10/13/2020,11.5,ug/m3 LC,48,San Francisco
