Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
07/12/2019,8.4,ppb,8,Oakland West,Alameda
07/13/2019,16.9,ppb,15,Oakland West,Alameda
07/14/2019,18.7,ppb,17,Oakland West,Alameda
07/15/2019,21.2,ppb,20,Oakland West,Alameda
07/16/2019,14.7,ppb,13,Oakland West,Alameda
07/17/2019,15.6,ppb,14,Oakland West,Alameda
07/18/2019,7.6,ppb,7,Oakland West,Alameda
07/19/2019,11.6,ppb,10,Oakland West,Alameda
07/20/2019,5.9,ppb,5,Oakland West,Alameda
07/21/2019,8.3,ppb,8,Oakland West,Alameda
07/22/2019,17.6,ppb,16,Oakland West,Alameda
07/23/2019,14.5,ppb,13,Oakland West,Alameda
07/24/2019,23.1,ppb,22,Oakland West,Alameda
07/25/2019,17.6,ppb,16,Oakland West,Alameda
07/26/2019,12.6,ppb,11,Oakland West,Alameda
07/27/2019,17.7,ppb,16,Oakland West,Alameda
07/28/2019,11.2,ppb,10,Oakland West,Alameda
07/29/2019,7.9,ppb,7,Oakland West,Alameda
07/30/2019,9.4,ppb,8,Oakland West,Alameda
07/31/2019,15.0,ppb,14,Oakland West,Alameda
08/01/2019,8.9,ppb,8,Oakland West,Alameda
08/02/2019,8.0,ppb,8,Oakland West,Alameda
08/03/2019,12.4,ppb,11,Oakland West,Alameda
08/04/2019,9.7,ppb,8,Oakland West,Alameda
08/05/2019,15.0,ppb,14,Oakland West,Alameda
08/06/2019,14.7,ppb,13,Oakland West,Alameda
08/07/2019,12.1,ppb,11,Oakland West,Alameda
08/08/2019,16.6,ppb,15,Oakland West,Alameda
08/09/2019,19.9,ppb,18,Oakland West,Alameda
08/10/2019,13.4,ppb,12,Oakland West,Alameda
08/11/2019,17.7,ppb,16,Oakland West,Alameda
08/12/2019,20.7,ppb,19,Oakland West,Alameda
08/13/2019,25.3,ppb,24,Oakland West,Alameda
08/14/2019,22.3,ppb,21,Oakland West,Alameda
08/15/2019,18.5,ppb,17,Oakland West,Alameda
08/16/2019,20.7,ppb,19,Oakland West,Alameda
08/17/2019,21.0,ppb,20,Oakland West,Alameda
08/18/2019,18.6,ppb,17,Oakland West,Alameda
08/19/2019,9.2,ppb,8,Oakland West,Alameda
08/20/2019,12.7,ppb,11,Oakland West,Alameda
08/21/2019,19.8,ppb,18,Oakland West,Alameda
08/22/2019,18.7,ppb,17,Oakland West,Alameda
08/23/2019,22.5,ppb,21,Oakland West,Alameda
08/24/2019,10.2,ppb,9,Oakland West,Alameda
08/25/2019,27.9,ppb,25,Oakland West,Alameda
08/26/2019,21.5,ppb,20,Oakland West,Alameda
08/27/2019,19.5,ppb,18,Oakland West,Alameda
08/28/2019,8.3,ppb,8,Oakland West,Alameda
08/29/2019,23.5,ppb,22,Oakland West,Alameda
08/30/2019,14.6,ppb,13,Oakland West,Alameda
08/31/2019,13.5,ppb,12,Oakland West,Alameda
09/01/2019,16.8,ppb,15,Oakland West,Alameda
09/02/2019,20.0,ppb,19,Oakland West,Alameda
09/03/2019,11.0,ppb,10,Oakland West,Alameda
09/04/2019,25.0,ppb,24,Oakland West,Alameda
09/05/2019,10.5,ppb,9,Oakland West,Alameda
09/06/2019,14.2,ppb,13,Oakland West,Alameda
09/07/2019,9.6,ppb,8,Oakland West,Alameda
09/08/2019,12.6,ppb,11,Oakland West,Alameda
09/09/2019,14.3,ppb,13,Oakland West,Alameda
09/10/2019,17.6,ppb,16,Oakland West,Alameda
09/11/2019,25.1,ppb,24,Oakland West,Alameda
09/12/2019,34.9,ppb,32,Oakland West,Alameda
09/13/2019,29.6,ppb,27,Oakland West,Alameda
09/14/2019,18.3,ppb,17,Oakland West,Alameda
09/15/2019,14.0,ppb,13,Oakland West,Alameda
09/16/2019,15.0,ppb,14,Oakland West,Alameda
09/17/2019,19.9,ppb,18,Oakland West,Alameda
09/18/2019,17.1,ppb,16,Oakland West,Alameda
