"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/08/2016","AQS","060131002","1","0.028","ppm","26","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/09/2016","AQS","060131002","1","0.026","ppm","24","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/10/2016","AQS","060131002","1","0.015","ppm","14","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/11/2016","AQS","060131002","1","0.035","ppm","32","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/12/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/13/2016","AQS","060131002","1","0.029","ppm","27","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/14/2016","AQS","060131002","1","0.042","ppm","39","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/15/2016","AQS","060131002","1","0.037","ppm","34","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/16/2016","AQS","060131002","1","0.031","ppm","29","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/17/2016","AQS","060131002","1","0.038","ppm","35","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/18/2016","AQS","060131002","1","0.025","ppm","23","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/19/2016","AQS","060131002","1","0.028","ppm","26","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/20/2016","AQS","060131002","1","0.032","ppm","30","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/21/2016","AQS","060131002","1","0.039","ppm","36","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/22/2016","AQS","060131002","1","0.035","ppm","32","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/23/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/24/2016","AQS","060131002","1","0.032","ppm","30","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
