Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY,Daily_Max_1-hour_NO2_Concentration,Daily_Max_8-hour_Ozone_Concentration,Daily_Mean_PM2.5_Concentration,Daily_Max_8-hour_CO_Concentration,Daily_Max_1-hour_SO2_Concentration
11/17/2018,,ug/m3 LC,178,Oakland West,Alameda,,,108.5,,
11/18/2018,,ug/m3 LC,156,Oakland West,Alameda,,,64.7,,
11/19/2018,,ug/m3 LC,168,Oakland West,Alameda,,,88.8,,
11/20/2018,,ug/m3 LC,154,Oakland West,Alameda,,,61.1,,
11/21/2018,,ug/m3 LC,46,Oakland West,Alameda,,,11.0,,
11/22/2018,,ug/m3 LC,14,Oakland West,Alameda,,,3.4,,
11/23/2018,,ug/m3 LC,15,Oakland West,Alameda,,,3.5,,
11/24/2018,,ug/m3 LC,23,Oakland West,Alameda,,,5.5,,
11/25/2018,,ug/m3 LC,36,Oakland West,Alameda,,,8.6,,
11/26/2018,,ug/m3 LC,46,Oakland West,Alameda,,,11.1,,
11/27/2018,,ug/m3 LC,44,Oakland West,Alameda,,,10.5,,
11/28/2018,,ug/m3 LC,28,Oakland West,Alameda,,,6.6,,
11/29/2018,,ug/m3 LC,23,Oakland West,Alameda,,,5.6,,
11/30/2018,,ug/m3 LC,21,Oakland West,Alameda,,,5.0,,
12/01/2018,,ug/m3 LC,19,Oakland West,Alameda,,,4.6,,
12/02/2018,,ug/m3 LC,17,Oakland West,Alameda,,,4.0,,
12/03/2018,,ug/m3 LC,21,Oakland West,Alameda,,,5.1,,
12/04/2018,,ug/m3 LC,34,Oakland West,Alameda,,,8.1,,
12/05/2018,,ug/m3 LC,25,Oakland West,Alameda,,,6.0,,
12/06/2018,,ug/m3 LC,18,Oakland West,Alameda,,,4.2,,
12/07/2018,,ug/m3 LC,44,Oakland West,Alameda,,,10.5,,
12/08/2018,,ug/m3 LC,71,Oakland West,Alameda,,,21.7,,
12/09/2018,,ug/m3 LC,79,Oakland West,Alameda,,,25.6,,
12/10/2018,,ug/m3 LC,71,Oakland West,Alameda,,,21.4,,
12/11/2018,,ug/m3 LC,55,Oakland West,Alameda,,,13.9,,
12/12/2018,,ug/m3 LC,50,Oakland West,Alameda,,,11.9,,
12/13/2018,,ug/m3 LC,60,Oakland West,Alameda,,,16.4,,
12/14/2018,,ug/m3 LC,63,Oakland West,Alameda,,,17.7,,
12/15/2018,,ug/m3 LC,40,Oakland West,Alameda,,,9.5,,
12/16/2018,,ug/m3 LC,20,Oakland West,Alameda,,,4.8,,
12/17/2018,,ug/m3 LC,31,Oakland West,Alameda,,,7.5,,
12/18/2018,,ug/m3 LC,45,Oakland West,Alameda,,,10.7,,
12/19/2018,,ug/m3 LC,35,Oakland West,Alameda,,,8.5,,
12/20/2018,,ug/m3 LC,67,Oakland West,Alameda,,,19.7,,
12/21/2018,,ug/m3 LC,52,Oakland West,Alameda,,,12.6,,
12/22/2018,,ug/m3 LC,27,Oakland West,Alameda,,,6.5,,
12/23/2018,,ug/m3 LC,40,Oakland West,Alameda,,,9.7,,
12/24/2018,,ug/m3 LC,33,Oakland West,Alameda,,,7.8,,
12/25/2018,,ug/m3 LC,14,Oakland West,Alameda,,,3.4,,
12/26/2018,,ug/m3 LC,19,Oakland West,Alameda,,,4.5,,
12/27/2018,,ug/m3 LC,12,Oakland West,Alameda,,,2.8,,
12/28/2018,,ug/m3 LC,21,Oakland West,Alameda,,,5.1,,
12/29/2018,,ug/m3 LC,36,Oakland West,Alameda,,,8.7,,
12/30/2018,,ug/m3 LC,45,Oakland West,Alameda,,,10.7,,
12/31/2018,,ug/m3 LC,10,Oakland West,Alameda,,,2.4,,
01/01/2018,,ug/m3 LC,72,San Francisco,San Francisco,,,22.1,,
01/02/2018,,ug/m3 LC,82,San Francisco,San Francisco,,,26.7,,
01/03/2018,,ug/m3 LC,111,San Francisco,San Francisco,,,39.5,,
01/04/2018,,ug/m3 LC,58,San Francisco,San Francisco,,,15.6,,
01/05/2018,,ug/m3 LC,22,San Francisco,San Francisco,,,5.2,,
01/06/2018,,ug/m3 LC,34,San Francisco,San Francisco,,,8.1,,
01/07/2018,,ug/m3 LC,52,San Francisco,San Francisco,,,12.7,,
01/08/2018,,ug/m3 LC,38,San Francisco,San Francisco,,,9.0,,
01/09/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.4,,
01/10/2018,,ug/m3 LC,32,San Francisco,San Francisco,,,7.7,,
01/11/2018,,ug/m3 LC,56,San Francisco,San Francisco,,,14.6,,
01/12/2018,,ug/m3 LC,54,San Francisco,San Francisco,,,13.5,,
01/13/2018,,ug/m3 LC,55,San Francisco,San Francisco,,,14.2,,
01/14/2018,,ug/m3 LC,72,San Francisco,San Francisco,,,22.2,,
01/15/2018,,ug/m3 LC,80,San Francisco,San Francisco,,,25.8,,
01/16/2018,,ug/m3 LC,69,San Francisco,San Francisco,,,20.5,,
01/17/2018,,ug/m3 LC,76,San Francisco,San Francisco,,,23.9,,
01/18/2018,,ug/m3 LC,68,San Francisco,San Francisco,,,20.0,,
01/19/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.5,,
01/20/2018,,ug/m3 LC,39,San Francisco,San Francisco,,,9.3,,
01/21/2018,,ug/m3 LC,45,San Francisco,San Francisco,,,10.8,,
01/22/2018,,ug/m3 LC,19,San Francisco,San Francisco,,,4.5,,
01/23/2018,,ug/m3 LC,42,San Francisco,San Francisco,,,10.0,,
01/24/2018,,ug/m3 LC,41,San Francisco,San Francisco,,,9.8,,
01/25/2018,,ug/m3 LC,33,San Francisco,San Francisco,,,7.9,,
