"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/04/2015","AQS","060812004","3","0.002","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/10/2015","AQS","060812004","3","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/16/2015","AQS","060812004","3","0.029","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/22/2015","AQS","060812004","3","0.008","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/28/2015","AQS","060812004","3","0.036","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/03/2015","AQS","060812004","3","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/09/2015","AQS","060812004","3","0.029","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/15/2015","AQS","060812004","3","0.006","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/21/2015","AQS","060812004","3","0.025","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/27/2015","AQS","060812004","3","0.018","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/03/2015","AQS","060812004","3","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/09/2015","AQS","060812004","3","0.037","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/15/2015","AQS","060812004","3","0.034","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/21/2015","AQS","060812004","3","0.033","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/27/2015","AQS","060812004","3","0.017","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/02/2015","AQS","060812004","3","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/08/2015","AQS","060812004","3","0.002","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/14/2015","AQS","060812004","3","0.014","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/20/2015","AQS","060812004","3","0.087","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/26/2015","AQS","060812004","3","0.004","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/02/2015","AQS","060812004","3","0.02","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/08/2015","AQS","060812004","3","0.015","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/14/2015","AQS","060812004","3","0.028","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/20/2015","AQS","060812004","3","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/26/2015","AQS","060812004","3","0.019","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"03/25/2015","AQS","060812004","5","0.041","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"03/31/2015","AQS","060812004","5","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/12/2015","AQS","060812004","5","0.051","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/24/2015","AQS","060812004","5","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/06/2015","AQS","060812004","5","0.004","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/18/2015","AQS","060812004","5","0.002","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/30/2015","AQS","060812004","5","0.032","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/11/2015","AQS","060812004","5","0.037","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/23/2015","AQS","060812004","5","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/05/2015","AQS","060812004","5","0.006","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/17/2015","AQS","060812004","5","0.059","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/29/2015","AQS","060812004","5","0.046","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/10/2015","AQS","060812004","5","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/16/2015","AQS","060812004","5","0.009","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"08/22/2015","AQS","060812004","5","0.009","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/03/2015","AQS","060812004","5","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/15/2015","AQS","060812004","5","0.006","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"09/27/2015","AQS","060812004","5","0.02","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/09/2015","AQS","060812004","5","0.044","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"10/21/2015","AQS","060812004","5","0.041","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/02/2015","AQS","060812004","5","0.004","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/14/2015","AQS","060812004","5","0.014","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"11/26/2015","AQS","060812004","5","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/08/2015","AQS","060812004","5","0.016","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"12/20/2015","AQS","060812004","5","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
