Date,Daily_Max_1-hr_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
05/25/2018,10.6,ppb,9,San Francisco
05/26/2018,10.1,ppb,9,San Francisco
05/27/2018,14.4,ppb,13,San Francisco
05/28/2018,14.3,ppb,13,San Francisco
05/29/2018,16.4,ppb,15,San Francisco
05/30/2018,8.1,ppb,8,San Francisco
05/31/2018,11.4,ppb,10,San Francisco
06/01/2018,18.7,ppb,17,San Francisco
06/02/2018,23.7,ppb,22,San Francisco
06/03/2018,8.9,ppb,8,San Francisco
06/04/2018,12.9,ppb,11,San Francisco
06/05/2018,13.0,ppb,12,San Francisco
06/06/2018,9.7,ppb,8,San Francisco
06/07/2018,10.4,ppb,9,San Francisco
06/08/2018,9.5,ppb,8,San Francisco
06/09/2018,6.1,ppb,6,San Francisco
06/10/2018,13.0,ppb,12,San Francisco
06/11/2018,17.4,ppb,16,San Francisco
06/12/2018,18.8,ppb,17,San Francisco
06/13/2018,16.4,ppb,15,San Francisco
06/14/2018,10.3,ppb,9,San Francisco
06/15/2018,5.4,ppb,5,San Francisco
06/16/2018,16.7,ppb,15,San Francisco
06/17/2018,4.7,ppb,4,San Francisco
06/18/2018,8.9,ppb,8,San Francisco
06/19/2018,8.9,ppb,8,San Francisco
06/20/2018,8.9,ppb,8,San Francisco
06/21/2018,7.6,ppb,7,San Francisco
06/22/2018,13.0,ppb,12,San Francisco
06/23/2018,18.2,ppb,17,San Francisco
06/24/2018,10.0,ppb,9,San Francisco
06/25/2018,15.7,ppb,14,San Francisco
06/26/2018,9.1,ppb,8,San Francisco
06/27/2018,7.2,ppb,7,San Francisco
06/28/2018,8.5,ppb,8,San Francisco
06/29/2018,14.6,ppb,13,San Francisco
06/30/2018,19.7,ppb,18,San Francisco
07/01/2018,5.9,ppb,5,San Francisco
07/02/2018,9.0,ppb,8,San Francisco
07/03/2018,16.4,ppb,15,San Francisco
07/04/2018,4.6,ppb,4,San Francisco
07/05/2018,12.9,ppb,11,San Francisco
07/06/2018,21.8,ppb,20,San Francisco
07/07/2018,13.1,ppb,12,San Francisco
07/08/2018,4.5,ppb,4,San Francisco
07/09/2018,8.1,ppb,8,San Francisco
07/10/2018,11.1,ppb,10,San Francisco
07/11/2018,6.6,ppb,6,San Francisco
07/12/2018,19.4,ppb,18,San Francisco
07/13/2018,8.6,ppb,8,San Francisco
07/14/2018,8.0,ppb,8,San Francisco
07/15/2018,6.1,ppb,6,San Francisco
07/16/2018,8.4,ppb,8,San Francisco
07/17/2018,10.1,ppb,9,San Francisco
07/18/2018,9.2,ppb,8,San Francisco
07/19/2018,7.5,ppb,7,San Francisco
07/20/2018,14.7,ppb,13,San Francisco
07/21/2018,5.1,ppb,5,San Francisco
07/22/2018,7.9,ppb,7,San Francisco
07/23/2018,7.6,ppb,7,San Francisco
07/24/2018,9.8,ppb,8,San Francisco
07/25/2018,9.9,ppb,8,San Francisco
07/26/2018,8.4,ppb,8,San Francisco
07/27/2018,6.9,ppb,6,San Francisco
07/28/2018,4.3,ppb,4,San Francisco
07/29/2018,3.9,ppb,3,San Francisco
07/30/2018,5.5,ppb,5,San Francisco
07/31/2018,17.1,ppb,16,San Francisco
08/01/2018,10.4,ppb,9,San Francisco
08/02/2018,5.4,ppb,5,San Francisco
08/03/2018,7.8,ppb,7,San Francisco
08/04/2018,13.6,ppb,12,San Francisco
08/05/2018,4.3,ppb,4,San Francisco
08/06/2018,13.6,ppb,12,San Francisco
08/07/2018,10.7,ppb,9,San Francisco
08/08/2018,13.2,ppb,12,San Francisco
08/09/2018,15.0,ppb,14,San Francisco
08/10/2018,12.2,ppb,11,San Francisco
08/11/2018,8.7,ppb,8,San Francisco
08/12/2018,3.6,ppb,3,San Francisco
08/13/2018,8.1,ppb,8,San Francisco
08/14/2018,19.2,ppb,18,San Francisco
08/15/2018,9.8,ppb,8,San Francisco
08/16/2018,11.4,ppb,10,San Francisco
08/17/2018,11.9,ppb,10,San Francisco
